Scenario ID,Employee Search Query,Scenario Family,Edge Case Tags,Difficulty,Answerability,Intent Count,Archetype,Target Family ID,Target Instance ID,Construction,Generator Version,Generator Seed
Q20011,management organization including Postal Code,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - active employee,R1823,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Postal Code"", ""sibling_count"": 5}",2.0.0,20260804
Q20012,org from Trended Workers,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - active employee - current,R0715,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""data_source"", ""distinguishing_value"": ""Trended Workers"", ""sibling_count"": 4}",2.0.0,20260804
Q20013,org including Calculated Indicator,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - active employee by country,R2283,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Calculated Indicator"", ""sibling_count"": 3}",2.0.0,20260804
Q20014,supervisory team from Workers for HCM,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - active employee by country - detail,R2445,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""data_source"", ""distinguishing_value"": ""Workers for HCM"", ""sibling_count"": 3}",2.0.0,20260804
Q20015,axis - active employee by country - quarterly including Preferred Name,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - active employee by country - quarterly,R3297,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Preferred Name"", ""sibling_count"": 2}",2.0.0,20260804
Q20016,supervisory org including Units,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - active employee by country - ytd,R0162,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Units"", ""sibling_count"": 3}",2.0.0,20260804
Q20017,organization including Worker Status,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - active employee by location - summary,R1206,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Worker Status"", ""sibling_count"": 2}",2.0.0,20260804
Q20018,people leader from Workers for HCM,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - active employee by manager,R2555,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""data_source"", ""distinguishing_value"": ""Workers for HCM"", ""sibling_count"": 2}",2.0.0,20260804
Q20019,work location including Column Dimension,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - active employee by organization,R0267,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Column Dimension"", ""sibling_count"": 4}",2.0.0,20260804
Q20020,supervisory org prompted for Effective as of Date,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - active employee by region,R3617,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""prompt"", ""distinguishing_value"": ""Effective as of Date"", ""sibling_count"": 3}",2.0.0,20260804
Q20021,employees including Hire Date,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - active employee by region - dashboard,R1985,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Hire Date"", ""sibling_count"": 4}",2.0.0,20260804
Q20022,employees including Employee Type,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - active employee by worker type,R2269,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Employee Type"", ""sibling_count"": 2}",2.0.0,20260804
Q20023,legal entity including Record Count,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - active employee by worker type - historical,R1228,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Record Count"", ""sibling_count"": 2}",2.0.0,20260804
Q20024,applicants prompted for End Date,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - agency activity by candidate stage - quarterly,R0153,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""prompt"", ""distinguishing_value"": ""End Date"", ""sibling_count"": 3}",2.0.0,20260804
Q20025,axis - agency activity by source - ytd including Application Date,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - agency activity by source - ytd,R0020,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Application Date"", ""sibling_count"": 2}",2.0.0,20260804
Q20026,job opening including Filled Indicator,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - all positions,R2184,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Filled Indicator"", ""sibling_count"": 2}",2.0.0,20260804
Q20027,employing company including Include Subordinate Organizations,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - all positions by company - quarterly,R3443,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Include Subordinate Organizations"", ""sibling_count"": 3}",2.0.0,20260804
Q20028,hiring requisition including Include Subordinate Organizations,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - all positions by job family,R2835,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Include Subordinate Organizations"", ""sibling_count"": 2}",2.0.0,20260804
Q20029,axis - all positions by job family - audit as a Matrix report,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - all positions by job family - audit,R1603,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""report_type"", ""distinguishing_value"": ""Matrix"", ""sibling_count"": 3}",2.0.0,20260804
Q20030,open role including Worker ID,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - all positions by location,R3477,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Worker ID"", ""sibling_count"": 2}",2.0.0,20260804
Q20031,supervisory team including Job Profile Code,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - all positions by recruiter,R1004,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Job Profile Code"", ""sibling_count"": 2}",2.0.0,20260804
Q20032,employing company including Location,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - allowance by company,R3845,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Location"", ""sibling_count"": 3}",2.0.0,20260804
Q20033,employing company including Review Status,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - allowance by manager,R0496,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Review Status"", ""sibling_count"": 2}",2.0.0,20260804
Q20034,staff including Currency,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - allowance by manager - summary,R0810,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Currency"", ""sibling_count"": 2}",2.0.0,20260804
Q20035,axis - allowance by region - monthly including Hourly Rate,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - allowance by region - monthly,R0443,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Hourly Rate"", ""sibling_count"": 3}",2.0.0,20260804
Q20036,legal entity including Supervisory Organization,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - annual compensation by employee type - quarterly,R0778,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Supervisory Organization"", ""sibling_count"": 2}",2.0.0,20260804
Q20037,employing company including Position Status,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - annual compensation by plan - detail,R3816,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Position Status"", ""sibling_count"": 2}",2.0.0,20260804
Q20038,applicant as a Advanced report,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - applications by candidate stage,R1973,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""report_type"", ""distinguishing_value"": ""Advanced"", ""sibling_count"": 2}",2.0.0,20260804
Q20039,axis - applications by recruiter including Evergreen Indicator,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - applications by recruiter,R1289,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Evergreen Indicator"", ""sibling_count"": 3}",2.0.0,20260804
Q20040,workers including Age Band,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - approvals by assignee - summary,R1857,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Age Band"", ""sibling_count"": 2}",2.0.0,20260804
Q20041,axis - approvals by initiator - ytd including Record Count,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - approvals by initiator - ytd,R3025,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Record Count"", ""sibling_count"": 2}",2.0.0,20260804
Q20042,axis - approvals by status - dashboard including Position ID,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - approvals by status - dashboard,R0270,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Position ID"", ""sibling_count"": 4}",2.0.0,20260804
Q20043,workforce attrition including Hire Date,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - attrition by business unit - monthly,R2519,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Hire Date"", ""sibling_count"": 2}",2.0.0,20260804
Q20044,workforce attrition including Beginning Headcount,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - attrition by quarter - ytd,R3464,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Beginning Headcount"", ""sibling_count"": 2}",2.0.0,20260804
Q20045,workforce attrition including Initiated Date,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - attrition by region,R3037,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Initiated Date"", ""sibling_count"": 4}",2.0.0,20260804
Q20046,org from Business Process Events,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - awaiting action by organization - ytd,R1193,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""data_source"", ""distinguishing_value"": ""Business Process Events"", ""sibling_count"": 2}",2.0.0,20260804
Q20047,overdue including Worker ID,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - awaiting action by process type - historical,R3003,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Worker ID"", ""sibling_count"": 2}",2.0.0,20260804
Q20048,benefits coverage as a Matrix report,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - benefit coverage by benefit group,R2416,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""report_type"", ""distinguishing_value"": ""Matrix"", ""sibling_count"": 2}",2.0.0,20260804
Q20049,benefit election prompted for Benefit Groups,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - benefit coverage by worker,R1030,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""prompt"", ""distinguishing_value"": ""Benefit Groups"", ""sibling_count"": 2}",2.0.0,20260804
Q20050,employee including Coverage Type,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - benefit elections by company,R1715,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Coverage Type"", ""sibling_count"": 2}",2.0.0,20260804
Q20051,coverage window from All Benefit Elections,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - benefit enrollment - summary,R0092,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""data_source"", ""distinguishing_value"": ""All Benefit Elections"", ""sibling_count"": 2}",2.0.0,20260804
Q20052,benefit population prompted for Effective as of Date,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - benefit enrollment by company - current,R2672,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""prompt"", ""distinguishing_value"": ""Effective as of Date"", ""sibling_count"": 2}",2.0.0,20260804
Q20053,axis - bonus and one-time - current including Effective Date,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - bonus and one-time - current,R0750,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Effective Date"", ""sibling_count"": 2}",2.0.0,20260804
Q20054,axis - bonus and one-time - ytd including Pay Group,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - bonus and one-time - ytd,R2409,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Pay Group"", ""sibling_count"": 2}",2.0.0,20260804
Q20055,employing company including Compensation Grade,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - bonus and one-time by company - summary,R0348,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Compensation Grade"", ""sibling_count"": 3}",2.0.0,20260804
Q20056,annualized pay including Worker,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - bonus and one-time by company - ytd,R2518,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Worker"", ""sibling_count"": 2}",2.0.0,20260804
Q20057,legal entity as a Advanced report,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - bonus and one-time by grade - historical,R2652,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""report_type"", ""distinguishing_value"": ""Advanced"", ""sibling_count"": 2}",2.0.0,20260804
Q20058,axis - business process by initiator - quarterly as a Advanced report,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - business process by initiator - quarterly,R2137,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""report_type"", ""distinguishing_value"": ""Advanced"", ""sibling_count"": 2}",2.0.0,20260804
Q20059,management organization prompted for Business Process Types,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - business process by organization - audit,R3410,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""prompt"", ""distinguishing_value"": ""Business Process Types"", ""sibling_count"": 2}",2.0.0,20260804
Q20060,organization including As of Date,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - business process by organization - quarterly,R2335,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""As of Date"", ""sibling_count"": 3}",2.0.0,20260804
Q20061,applicant including Filled Indicator,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - candidate pipeline by candidate stage,R0381,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Filled Indicator"", ""sibling_count"": 5}",2.0.0,20260804
Q20062,ta partner prompted for Created On (Ending,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - candidate pipeline by source,R2083,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""prompt"", ""distinguishing_value"": ""Created On (Ending"", ""sibling_count"": 2}",2.0.0,20260804
Q20063,job seeker including Recruiter,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - candidate status by job - current,R3455,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Recruiter"", ""sibling_count"": 2}",2.0.0,20260804
Q20064,applicants including Location,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - candidate status by recruiter,R0606,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Location"", ""sibling_count"": 2}",2.0.0,20260804
Q20065,employees including Column Dimension,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - comp grade by manager - dashboard,R1558,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Column Dimension"", ""sibling_count"": 3}",2.0.0,20260804
Q20066,legal entity from All Compensation Review,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - compensation actuals by employee type,R0375,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""data_source"", ""distinguishing_value"": ""All Compensation Review"", ""sibling_count"": 3}",2.0.0,20260804
Q20067,base salary including Worker,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - compensation actuals by plan - historical,R1537,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Worker"", ""sibling_count"": 2}",2.0.0,20260804
Q20068,axis - compensation grade setup by grade including Calculated Indicator,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - compensation grade setup by grade,R1055,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Calculated Indicator"", ""sibling_count"": 2}",2.0.0,20260804
Q20069,axis - compensation grade setup by plan including Effective Date,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - compensation grade setup by plan,R0904,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Effective Date"", ""sibling_count"": 2}",2.0.0,20260804
Q20070,axis - compensation review - ytd including Contingent Worker Type,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - compensation review - ytd,R2480,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Contingent Worker Type"", ""sibling_count"": 5}",2.0.0,20260804
Q20071,staff as a Advanced report,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - compensation review by employee type - quarterly,R3223,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""report_type"", ""distinguishing_value"": ""Advanced"", ""sibling_count"": 2}",2.0.0,20260804
Q20072,annual salary including Include Subordinate Organizations,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - compensation review by manager - audit,R1938,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Include Subordinate Organizations"", ""sibling_count"": 2}",2.0.0,20260804
Q20073,axis - compensation statement including Allowance Amount,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - compensation statement,R0502,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Allowance Amount"", ""sibling_count"": 3}",2.0.0,20260804
Q20074,salary including Effective Date,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - compensation statement - monthly,R2498,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Effective Date"", ""sibling_count"": 2}",2.0.0,20260804
Q20075,axis - compensation statement by employee type - audit from Custom Reports I Can,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - compensation statement by employee type - audit,R0473,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""data_source"", ""distinguishing_value"": ""Custom Reports I Can"", ""sibling_count"": 3}",2.0.0,20260804
Q20076,employee including Effective Date,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - compensation statement by region - historical,R3274,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Effective Date"", ""sibling_count"": 2}",2.0.0,20260804
Q20077,axis - compensation statement by region - quarterly including Pay Group,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - compensation statement by region - quarterly,R0226,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Pay Group"", ""sibling_count"": 3}",2.0.0,20260804
Q20078,axis - completed steps by assignee including Step Name,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - completed steps by assignee,R1304,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Step Name"", ""sibling_count"": 2}",2.0.0,20260804
Q20079,axis - completed steps by initiator - current including Correction Reason,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - completed steps by initiator - current,R0540,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Correction Reason"", ""sibling_count"": 3}",2.0.0,20260804
Q20080,management organization including Job Family,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - completed steps by organization - summary,R0098,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Job Family"", ""sibling_count"": 2}",2.0.0,20260804
Q20081,workplace including Organization Name,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - cost centers by location - audit,R0281,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Organization Name"", ""sibling_count"": 3}",2.0.0,20260804
Q20082,bosses including Talent Pool,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - development goals - current,R3343,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Talent Pool"", ""sibling_count"": 2}",2.0.0,20260804
Q20083,organization including Manager,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - development goals by organization - detail,R1230,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""field"", ""distinguishing_value"": ""Manager"", ""sibling_count"": 2}",2.0.0,20260804
Q20084,supervisory org prompted for Include Subordinate,sibling_discriminating,sibling_selection,Medium-Hard,Answerable,1,sibling_discriminating,axis - development goals by organization - ytd,R0541,"{""construction"": ""family topic + facet carried by exactly one sibling"", ""distinguishing_kind"": ""prompt"", ""distinguishing_value"": ""Include Subordinate"", ""sibling_count"": 4}",2.0.0,20260804
